iter	Passed	Remaining
1292	97383	128564
1293	97454	128482
1294	97526	128404
1295	97597	128322
1296	97688	128267
1297	97816	128261
1298	97924	128229
1299	98010	128166
1300	98094	128102
1301	98196	128063
1302	98282	128001
1303	98363	127932
1304	98447	127867
1305	98531	127803
1306	98610	127733
1307	98692	127667
1308	98820	127658
1309	98948	127650
1310	99031	127584
1311	99106	127508
1312	99197	127453
1313	99280	127386
1314	99363	127321
1315	99439	127246
1316	99517	127174
1317	99592	127097
1318	99671	127026
1319	99751	126956
1320	99832	126887
1321	99909	126814
1322	99986	126740
